Restaurant Name,Locality,City,Cuisines,Highlights
Star of Greece,Port Willunga,Port Willunga,"Mediterranean, Seafood, Modern Australian","['Credit Card', 'Lunch', 'Dinner', 'Kid Friendly', 'Vegan Options', 'Outdoor Seating', 'Gluten Free Options', 'Waterfront', 'Table booking recommended', 'BYO']"
Glenn's Family Restaurant and Gift Shop,Red Deer County,Red Deer County,"American, Coffee and Tea","['Credit Card', 'Breakfast', 'Dinner', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Beer', 'Table booking recommended', 'Indoor Seating', 'Wine']"
Le Peche Gourmand,Creswick,Creswick,"Coffee and Tea, French","['Breakfast', 'Dinner', 'Lunch', 'Outdoor Seating', 'Gluten Free Options']"
Pac Thai,Forest Grove,Forest Grove,"Seafood, Thai, Vegetarian","['Takeaway Available', 'Dinner', 'Lunch', 'Vegetarian Friendly', 'Gluten Free Options']"
Thunder Road,Ras al Khaimah,Ras al-Khaimah,"Italian, American","['Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Indoor Seating', 'Table booking recommended']"
Craig Brothers Cafe,De Valls Bluff,De Valls Bluff,BBQ,"['Lunch', 'Dinner']"
Lake House Restaurant,Vineland Station,Vineland Station,"Italian, Mediterranean, Pizza","['Lunch', 'Dinner', 'Outdoor Seating', 'Table booking recommended']"
Mendokoro Ramenba,Salcedo Village,Makati City,"Japanese, Ramen","['Restroom available', 'Lunch', 'Credit Card', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Reopened', 'Beer', 'Table booking not available', 'Indoor Seating', 'Air Conditioned', 'Street Parking']"
Pipers of Penola,Penola,Penola,Modern Australian,"['Lunch', 'Dinner', 'BYO']"
Zinna's Bistro,Cranbury,Cranbury,"American, Italian","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'BYOB', 'Live Music', 'Wifi', 'Outdoor Seating', 'Table booking recommended', 'Private Dining Area Available', 'Farm-to-Table']"
Emerson's,Lovedale,Lovedale,"Breakfast, Modern Australian","['Dinner', 'Lunch', 'Indoor Seating', 'Table booking recommended']"
Old Country Store,Port Gibson,Port Gibson,"BBQ, Southern","['Cash', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Private Parking', 'Kid Friendly', 'Indoor Seating', 'Casual Attire']"
Saigon Moon,Black Diamond,Black Diamond,"Vietnamese, Beverages","['Lunch', 'Takeaway Available', 'Dinner', 'Kid Friendly', 'Gluten Free Options', 'Vegan Options']"
Thai Spice & Sushi Bar,Albemarle,Albemarle,"Japanese, Sushi, Thai","['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Dinner', 'Kid Friendly', 'Gluten Free Options', 'Vegetarian Friendly']"
Nick's Bar-B-Q & Catfish,Carlisle,Carlisle,"BBQ, Burger, Seafood","['Lunch', 'Dinner', 'Kid Friendly', 'Wifi']"
Peel St,"Peel Street, City Centre",Adelaide,"Asian, Middle Eastern, Modern Australian","['Credit Card', 'Dinner', 'Breakfast', 'Lunch', 'Wheelchair Accessible', 'Vegetarian Friendly', 'Fullbar', 'Outdoor Seating', 'Gluten Free Options']"
Byblos Restaurant & Bar,Gosford,Gosford,Middle Eastern,"['Lunch', 'Dinner', 'Gluten Free Options', 'Live Music', 'Kid Friendly', 'Vegan Options', 'Table booking recommended', 'Outdoor Seating']"
Rose's Cafe,Goulburn,Goulburn,"Breakfast, Coffee and Tea","['Breakfast', 'Dinner', 'Lunch']"
The Barn Steakhouse,Mount Gambier,Mount Gambier,Steak,"['Cash', 'No Alcohol Available', 'Dinner', 'Indoor Seating']"
Haunted Hamburger,Jerome,Jerome,"American, Burger, Sandwich","['Lunch', 'Serves Alcohol', 'Dinner', 'Outdoor Seating', 'Kid Friendly']"
Bay Leaf,Byron Bay,Byron Bay,"Breakfast, Modern Australian","['Breakfast', 'Dinner', 'Lunch']"
Ocean Restaurant,The Entrance,The Entrance,"Seafood, Modern Australian","['Dinner', 'Lunch', 'Indoor Seating', 'Table booking recommended']"
